occupation,translated_occupation,label
Werbegrafiker,Commercial artist,Arts & Culture
Kaufmännischer Assistent,Commercial Assistant,Unconventional & Misc
kaufmännischer Angestellter,Commercial employee,Business & Economics
Handelsfachwirt,Commercial specialist,Business & Economics
Werbesprecher,Commercial spokesperson,Business & Economics
Akzidenzsetzer,Commercial typesetter,Business & Economics
Kommissionsgeschäft,Commission business,Business & Economics
Kommunikationsberater,Communication consultant,Business & Economics
Kommunikationselektroniker,Communication electronics technician,STEM
Kommunikationsmanager,Communication manager,Business & Economics
Kommunikationswissenschaftler,Communication scientist,STEM
Nachrichtentechnik,Communications engineering,STEM
Kommunist,Communist,Governance & Society
Gemeindevorsteher,Community leader,Governance & Society
Betriebsarzt,Company doctor,Health & Medicine
Unternehmensgründer,Company founder,Business & Economics
Unternehmensleiter,Company Manager,Business & Economics
Wettbewerbsrechtler,Competition lawyer,Law
Leistungssportler,Competitive athlete,Sports
Kompilator,Compilator,Arts & Culture
Komponist,Composer,Arts & Culture
Komponist klassischer Musik,Composer of classical music,Arts & Culture
Computerbiologe,Computational biologist,STEM
Computerlinguist,Computational linguist,Academics & Humanities
Computerphysik,Computational physics,STEM
Computerkünstler,Computer artist,Arts & Culture
Computeringenieur,Computer engineer,STEM
Computerspieledesigner,Computer game designer,STEM
Computerspieleentwickler,Computer game developer,STEM
Computerspielproduzent,Computer game producer,STEM
Computerspiele-Journalist,Computer games journalist,Arts & Culture
Informatiker,Computer scientist,STEM
Trickbetrüger,Con artists,Arts & Culture
KZ-Kommandant,Concentration camp commander,Governance & Society
KZ-Häftling,Concentration camp prisoner,Governance & Society
KZ-Aufseher,Concentration camp warden,Governance & Society
Konzeptkünstler,Concept artist,Arts & Culture
Concept Artist,Concept Artist,Arts & Culture
Konzertsänger,Concert singer,Arts & Culture
Konzertmeister,Concertmaster,Arts & Culture
Conchologe,Conchologist,STEM
Beton- und Stahlbetonbauer,Concrete and reinforced concrete worker,STEM
Betonfacharbeiter,Concrete worker,STEM
Condottiere,Condottiere,Governance & Society
Dirigent,Conductor,Arts & Culture
Kapellmeister,Conductor,Arts & Culture
Schaffner,Conductor,Arts & Culture
Konfabulant,Confabulant,Unconventional & Misc
Confiseur,Confectioner,Arts & Culture
Konditor,Confectioner,Arts & Culture
Konfliktforscher,Conflict researcher,Academics & Humanities
Conférencier,Conférencier,Academics & Humanities
Wehrdienstverweigerer,Conscientious objector,Governance & Society
Wehrpflichtiger,Conscript,Governance & Society
Erhaltung,Conservation,Unconventional & Misc
Naturschützer,Conservationist,Governance & Society
Denkmalschützer,Conservationists,Governance & Society
Konservator,Conservator,Arts & Culture
Verschwörungstheoretiker,Conspiracy theorists,Unconventional & Misc
Staatskirchenrechtler,Constitutional lawyer,Law
Bauarbeiter,Construction worker,Business & Economics
Konstruktoren,Constructors,Business & Economics
Konsul,Consul,Governance & Society
Generalkonsul,Consul General,Governance & Society
Berater,Consultant,Business & Economics
Verbraucherschützer,Consumer advocate,Unconventional & Misc
zeitgenössischer Künstler,contemporary artist,Arts & Culture
Zeitgeschichtler,Contemporary historian,Academics & Humanities
Zeitzeuge,Contemporary witness,Governance & Society
Inhaltsersteller,Content creator,Arts & Culture
mitwirkender Redakteur,contributing editor,Arts & Culture
Fördermann,Conveyor,Unconventional & Misc
Koch,Cook,Arts & Culture
Kochbuchautor,Cookbook author,Arts & Culture
Küfer,Cooper,Arts & Culture
Kupferschmied,Coppersmith,Business & Economics
Co-Produzent,Co-producer,Arts & Culture
Koptologe,Coptologist,Academics & Humanities
Kopist,Copyist,Arts & Culture
Werbetexter,Copywriter,Arts & Culture
Texter,Copywriter,Arts & Culture
Kernmacher,Core maker,STEM
Justizvollzugsbeamter,Correctional officer,Governance & Society
Fernschachspieler,Correspondence chess player,Sports
Briefkorrespondentin,Correspondent,Arts & Culture
Korrespondent,Correspondent,Arts & Culture
Korvettenkapitän,Corvette captain,Governance & Society
Kosmetologe,Cosmetologist,Health & Medicine
Kosmologe,Cosmologist,Religion & Philosophy
Kostümbildner,Costume designer,Arts & Culture
Co-Trainer,Co-trainer,Sports
Justizrat,Councillor of Justice,Law
Counsel,Counsel,Governance & Society
Justiziar,Counsel,Governance & Society
Seelsorger,Counselor,Religion & Philosophy
Graf,Count,Governance & Society
Pfalzgraf,Count Palatine,Governance & Society
Fälscher,Counterfeiter,Unconventional & Misc
Landarzt,Country doctor,Health & Medicine
Country-Musiker,Country musician,Arts & Culture
Country-Sänger,Country singer,Arts & Culture
County Council,County Council,Governance & Society
Paartherapeut,Couples therapist,Health & Medicine
Gerichtsreferendar,Court clerk,Governance & Society
Hofkapellmeister,Court conductor,Law
Hoffaktor,Court factor,Business & Economics
Hofgärtner,Court gardener,Governance & Society
Hofmarschall,Court Marshal,Law
Hofmusiker,Court musician,Arts & Culture
Hofbeamter,Court official,Law
Hofmaler,Court painter,Arts & Culture
Hofprediger,Court preacher,Religion & Philosophy
Gerichtspräsident,Court President,Governance & Society
Gerichtsreporter,Court reporter,Governance & Society
Gerichtsstenograf,Court stenographer,Governance & Society
Höfling,Courtier,Governance & Society
Couturier,Couturier,Arts & Culture
Cowboy,Cowboy,Unconventional & Misc
Cracker,Cracker,Unconventional & Misc
Handwerksberuf,Craft profession,Business & Economics
Handwerker,Craftsman,Business & Economics
Kunstgewerbler,Craftsman,Arts & Culture
Kulturschaffender,Creative artist,Arts & Culture
Creative Director,Creative Director,Arts & Culture
Creative Producer,Creative Producer,Arts & Culture
Krippenmacher,Crib maker,Arts & Culture
Cricketspieler,Cricketer,Sports
Kriminalautor,Crime writer,Arts & Culture
Krimineller,Criminal,Unconventional & Misc
Kriminalassistent,Criminal assistant,Unconventional & Misc
Kriminalrat,Criminal Counselor,Governance & Society
Strafverteidiger,Criminal defense lawyer,Law
Kriminalbeamter,Criminal investigator,Governance & Society
Kriminal- bzw. Polizeikommissar,Criminal or police commissioner,Governance & Society
Kriminalist,Criminalist,Academics & Humanities
Kriminologe,Criminologist,Academics & Humanities
Kritiker,Critics,Arts & Culture
Religionskritiker,Critics of religion,Religion & Philosophy
Kreuzorganist,Cross organist,Arts & Culture
Skilangläufer,Cross-country skier,Sports
Skilanglauftrainer,Cross-country skiing coach,Sports
Kryptoanalytiker,Cryptanalyst,STEM
Kryptograph,Cryptographer,STEM
Kryptologe,Cryptologist,STEM
Kristallograph,Crystallographer,STEM
Sektenführer,Cult leader,Religion & Philosophy
Kulturaktivist,Cultural activist,Governance & Society
Kulturanthropologe,Cultural anthropologist,Academics & Humanities
Kulturkritiker,Cultural critic,Academics & Humanities
Kulturhistoriker,Cultural historian,Academics & Humanities
Kulturjournalist,Cultural journalist,Academics & Humanities
Kulturmanager,Cultural manager,Business & Economics
Kulturvermittlung,Cultural mediation,Governance & Society
Kulturphilosoph,Cultural philosopher,Academics & Humanities
Kulturpolitik,Cultural policy,Governance & Society
Kulturpolitiker,Cultural politician,Governance & Society
Kulturwissenschaftler,Cultural scientist,STEM
Kultursoziologe,Cultural sociologist,Academics & Humanities
Kulturarbeiter,Cultural worker,Governance & Society
Kulturredakteur,Culture editor,Arts & Culture
Mundschenk,Cupbearer,Governance & Society
Kurat,Curate,Arts & Culture
Heilerziehungspfleger,Curative education nurse,Health & Medicine
Kurator,Curator,Arts & Culture
Curler,Curler,Sports
Eisstockschütze,Curling,Sports
Maßschneider,Custom tailor,Arts & Culture
Kundendienst,Customer service,Business & Economics
Zollbeamter,Customs officer,Governance & Society
Schnittwarenhändler,Cutlery dealer,Business & Economics
Zuschneider,Cutter,Business & Economics
Cutter,Cutter,Business & Economics
Zerspanungsmechaniker,Cutting machine operator,STEM
Kybernetiker,Cyberneticist,STEM
Radrennfahrer,Cyclist,Sports
Radfahrer,Cyclist,Sports
Radsportler,Cyclist,Sports
Cyclocrossfahrer,Cyclocross rider,Sports
Kynologe,Cynologist,STEM
Daguerreotypist,Daguerreotypist,Arts & Culture
Tanzsportler,Dance athlete,Sports
Tanzwissenschaftler,Dance scientist,STEM
Tanzlehrer,Dance teacher,Arts & Culture
Tanztherapie,Dance therapy,Health & Medicine
Tänzer,Dancer,Arts & Culture
Dartspieler,Dart player,Sports
Data Scientist,Data Scientist,STEM
Tagelöhner,Day laborer,Business & Economics
Diakon,Deacon,Religion & Philosophy
Diakonisse,Deaconess,Religion & Philosophy
Dekan,Dean,Academics & Humanities
Zehnkämpfer,Decathlete,Sports
Deckoffizier,Deck officer,Governance & Society
Dekorationsmaler,Decorative painter,Arts & Culture
Dekorateur,Decorator,Arts & Culture
Rüstungsunternehmer,Defense contractor,Arts & Culture
Zusteller,Deliverer,Business & Economics
Demagoge,Demagogue,Academics & Humanities
Demograph,Demographics,Academics & Humanities
Demoskop,Demoscope,Academics & Humanities
Dendrologe,Dendrologist,STEM
Leugner des Völkermords an den Armeniern,Deniers of the Armenian genocide,Governance & Society
Zahnmedizinischer Fachangestellter,Dental assistant,Health & Medicine
Dentalhygieniker,Dental hygienist,Health & Medicine
Zahntechniker,Dental technician,Health & Medicine
Zahnarzt,Dentist,Health & Medicine
Dentist,Dentist,Health & Medicine
stellvertretender Vorsitzender,Deputy Chairman,Governance & Society
Vizebürgermeister,Deputy Mayor,Governance & Society
Vizeminister,Deputy Minister,Governance & Society
Dermatologe,Dermatologist,Health & Medicine
Dermatovenerolog,Dermatovenerologist,Health & Medicine
Deserteur,Deserter,Governance & Society
Gestaltungstechnischer Assistent,Design assistant,Arts & Culture
Konstrukteur,Design engineer,STEM
Konstruktionsingenieur,Design engineer,STEM
Designtheoretiker,Design theorist,Arts & Culture
Designer,Designer,Arts & Culture
Dessinateur,Designer,Arts & Culture
Detektiv,Detective,Governance & Society
Entwicklungshelfer,Development worker,STEM
Entwicklungsbiologe,Developmental biologist,STEM
DFB-Präsident,DFB President,Governance & Society
Diabetologe,Diabetologist,STEM
Mundartschriftsteller,Dialect writer,Arts & Culture
Dialektologe,Dialectologist,Academics & Humanities
Dialogautor,Dialog author,Arts & Culture
Dialogregie,dialog direction,Arts & Culture
Dialogbuchautor,Dialogue book author,Arts & Culture
Tagebuchschreiber,Diarist,Arts & Culture
Didaktiker,Didactician,Academics & Humanities
Diätassistent,Dietician,Health & Medicine
Mediengestalter Digital und Print,Digital and print media designer,Arts & Culture
Digitalkünstler,Digital artist,Arts & Culture
Digital Humanist,Digital Humanist,Academics & Humanities
Deichgraf,Dike count,Governance & Society
Diözesanadministrator,Diocesan Administrator,Governance & Society
Diplomat,Diplomat,Governance & Society
Diplomatiker,Diplomat,Governance & Society
Diplom-Kaufmann,Diplom-Kaufmann,Governance & Society
Diplom-Verwaltungswirt,Diplom-Verwaltungswirt,Governance & Society
Dipterologe,Dipterologist,STEM
Directeur de recherche am CNRS,Directeur de recherche at the CNRS,Business & Economics
Regisseur,Director,Arts & Culture
Direktor,Director,Business & Economics
Kriminaldirektor,Director of Criminal Investigation,Governance & Society
Studiendirektor,Director of Studies,Academics & Humanities
Behindertenrechtsaktivist,Disability rights activist,Governance & Society
Behindertensportler,Disabled athletes,Sports
Discjockey,Disc jockey,Sports
Diskuswerfer,Discus thrower,Sports
Diseuse,Diseuse,Unconventional & Misc
Disponent,Dispatcher,Governance & Society
Schauwerbegestalter,Display designer,Arts & Culture
Dissident,Dissident,Governance & Society
Landrat,District Administrator,Governance & Society
Bezirkskantor,District Cantor,Governance & Society
Bezirksamtmann,District Commissioner,Governance & Society
Landgerichtsrat,District Court Judge,Law
Kreishauptmann,District Governor,Governance & Society
Bezirksbürgermeister von Marzahn-Hellersdorf,District Mayor of Marzahn-Hellersdorf,Governance & Society
Regierungspräsident,District President,Governance & Society
Taucher,Diver,Sports
Divisionsarzt,Divisional physician,Health & Medicine
Arzt,Doctor,Health & Medicine
Doktor der Medizin,Doctor of Medicine,Health & Medicine
Dokumentar,Documentary,Arts & Culture
Dokumentarfilmer,Documentary filmmaker,Arts & Culture
Dokumentationsautor,Documentation author,Arts & Culture
Hundezüchter,Dog breeder,Business & Economics
Hundetrainer,Dog trainer,Business & Economics
Puppenmacher,Doll maker,Business & Economics
Puppenbauer,Doll maker,Business & Economics
Hauspersonal,Domestic staff,Unconventional & Misc
Domina,Dominatrix,Arts & Culture
Spender,Donor,Health & Medicine
Stifter,Donor,Health & Medicine
Türsteher,Doorman,Unconventional & Misc
Doppelagent,Double agent,Governance & Society
Kontrabassist,Double bass player,Arts & Culture
Zeichner,Draftsman,STEM
Bauzeichner,Draftsman,STEM
Dragqueen,Drag queen,Arts & Culture
Schauspiellehrer,Drama teacher,Arts & Culture
Dramaturg,Dramaturge,Arts & Culture
Zeichenlehrer,Drawing teacher,Academics & Humanities
Dressurreiter,Dressage rider,Sports
Fahrer,Driver,Sports
Fahrlehrer,Driving instructor,Sports
Drost,Drost,Governance & Society
Drogendealer,Drug dealer,Governance & Society
Drogist,Druggist,Academics & Humanities
Duathlet,Duathlete,Sports
Synchronsprecher,Dubbing actor,Arts & Culture
Synchronregisseur,Dubbing director,Arts & Culture
Hals-Nasen-Ohren-Arzt,"Ear, nose and throat specialist",Health & Medicine
Frühpädagoge,Early childhood teacher,Academics & Humanities
Erdarbeiter,Earthworker,Business & Economics
Ostasienwissenschaftler,East Asia scholar,Academics & Humanities
Osteuropahistoriker,Eastern European historian,Academics & Humanities
Ökofeminist,Ecofeminist,Governance & Society
Ökologe,Ecologist,STEM
Ökonometriker,Econometrician,STEM
Wirtschaftsgeograph,Economic geographer,STEM
Wirtschaftshistoriker,Economic historian,Academics & Humanities
Wirtschaftstheoretiker,Economic theorist,Business & Economics
Wirtschaftswissenschaftler,Economist,Business & Economics
Volkswirt,Economist,Business & Economics
Ökumeniker,Ecumenist,Unconventional & Misc
Redakteur,Editor,Arts & Culture
Redaktor,Editor,Arts & Culture
Editor-at-Large,Editor-at-Large,Arts & Culture
Chefredakteur,Editor-in-Chief,Arts & Culture
Bildungsexperte,Education expert,Arts & Culture
Bildungsforscher,Education researcher,Academics & Humanities
pädagogischer Psychologe,Educational psychologist,Academics & Humanities
Erziehungwissenschaftler,Educational scientist,STEM
Pädagoge,Educator,Academics & Humanities
Erzieher,Educator,Academics & Humanities
Ägyptologe,Egyptologist,Academics & Humanities
Ältermann,Elder,Business & Economics
erwählter Bischof,elected bishop,Religion & Philosophy
Wahlkandidat,Election candidate,Governance & Society
Wahlbeamter,Election official,Governance & Society
Wahlforscher,Election researcher,Academics & Humanities
Kurfürst,Elector,Governance & Society
Kurfürstin,Electress,Governance & Society
Elektroingenieur,Electrical engineer,STEM
Elektrotechniker/in,Electrical engineer,STEM
Elektrofachkraft,Electrician,STEM
Elektroinstallateur,Electrician,STEM
Elektromonteur,Electrician,STEM
Elektromechaniker,Electromechanic,STEM
elektronische Datenverarbeitung,Electronic data processing,STEM
Elektroniker,Electronics technician,STEM
Elektronikfacharbeiter,Electronics technician,STEM
Elektroniker für Automatisierungstechnik,Electronics technician for automation technology,STEM
Volksschullehrer,Elementary school teacher,Academics & Humanities
Embryologe,Embryologist,STEM
Notarzt,Emergency doctor,Health & Medicine
Notfallsanitäter,Emergency paramedic,Health & Medicine
Notfallsanitäter (Deutschland),Emergency paramedic (Germany),Health & Medicine
Notfallseelsorge,Emergency pastoral care,Health & Medicine
Emigrant,Emigrant,Governance & Society
Angestellter,Employee,Business & Economics
Angestellter im öffentlichen Dienst,Employee in the public sector,Business & Economics
Arbeitnehmer,Employees,Business & Economics
Dienstherr,Employer,Business & Economics
Emailleur,Enameler,Arts & Culture
Enzyklopädist,Encyclopedist,Academics & Humanities
Enzyklopädist (Encyclopédie),Encyclopedist (Encyclopédie),Academics & Humanities
Endokrinologe,Endocrinologist,Health & Medicine
Endurofahrer,Enduro rider,Sports
Energieelektroniker,Energy electronics technician,STEM
Lokomotivführer,Engine driver,STEM
Ingenieur,Engineer,STEM
Ingenieur-Kapitän,Engineer-Captain,STEM
Ingenieurgeodät,Engineering geodesy,STEM
Ingenieurgeograph (Militärkartograph),Engineering geographer (military cartographer),STEM
Ingenieurwissenschaftler,Engineering scientist,STEM
Graveur,Engraver,Arts & Culture
Kupferstecher,Engraver,Arts & Culture
Ensembleleiter,Ensemble leader,Arts & Culture
Unterhaltungskünstler,Entertainer,Arts & Culture
Entomologe,Entomologist,Academics & Humanities
Unternehmer,Entrepreneur,Business & Economics
Unternehmer (Montanindustrie),Entrepreneur (coal and steel industry),Business & Economics
Umweltchemiker,Environmental chemist,STEM
Umweltökonom,Environmental economist,Business & Economics
Umweltmedizin,Environmental medicine,Health & Medicine
Umweltplaner,Environmental planner,Governance & Society
Umweltwissenschaftler,Environmental scientist,STEM
Umwelttoxikologe,Environmental toxicologist,STEM
Umweltschützer,Environmentalists,Governance & Society
Gesandter,Envoy,Governance & Society
Ephorus,Ephorus,Academics & Humanities
Epidemiologe,Epidemiologist,Health & Medicine
Epigraphiker,Epigraphist,Arts & Culture
Epileptologe,Epileptologist,Health & Medicine
Bischofsvikar,Episcopal Vicar,Religion & Philosophy
Epistemologe,Epistemologist,Academics & Humanities
Gleichstellungsbeauftragte,Equal Opportunities Officer,Governance & Society
Pferdesportler,Equestrian athlete,Sports
Radierer,Eraser,Arts & Culture
Ergonome,Ergonome,STEM
Erotikmodel,Erotic model,Arts & Culture
Fluchthelfer,Escape helper,Governance & Society
Esoteriker,Esotericist,Religion & Philosophy
Esperantist,Esperantist,Academics & Humanities
Esperantologe,Esperantologist,Academics & Humanities
Essayist,Essayist,Academics & Humanities
Ethiker,Ethicist,Religion & Philosophy
Äthiopist,Ethiopian,Academics & Humanities
Ethnobotaniker,Ethnobotanist,STEM
Ethnograf,Ethnographer,Academics & Humanities
Ethnologe,Ethnologist,Academics & Humanities
Musikethnologe,Ethnomusicologist,Arts & Culture
Etruskologe,Etruscologist,Academics & Humanities
Etymologe,Etymologist,Academics & Humanities
Eugeniker,Eugenicists,Academics & Humanities
Europameister,European champion,Sports
Evangelist,Evangelist,Religion & Philosophy
Eventmanager,Event manager,Business & Economics
Veranstaltungskaufmann,Event manager,Business & Economics
Vielseitigkeitsreiter,Eventing rider,Sports
Evolutionsbiologe,Evolutionary biologist,STEM
Grabungsleiter,Excavation manager,Business & Economics
Scharfrichter,Executioner,Governance & Society
Executive Producer,Executive Producer,Business & Economics
Nachlassverwalter,Executor,Law
Exeget,Exegetes,Religion & Philosophy
Ausstellungsgestalter,Exhibition designer,Arts & Culture
Ausstellungsmacher,Exhibition organizer,Arts & Culture
Existentialist,Existentialist,Religion & Philosophy
Exlibriskünstler,Exlibris artist,Arts & Culture
experimentelle Archäologie,experimental archaeology,Academics & Humanities
Experte,Expert,Unconventional & Misc
Sachverständiger,Expert witness,Governance & Society
Komparse,Extra,Arts & Culture
Extremsportler,Extreme athlete,Sports
Fabrikarbeiter,Factory worker,Business & Economics
Faktotum,Factotum,Unconventional & Misc
Märchensammler,Fairy tale collector,Arts & Culture
Märchenschriftsteller,Fairy tale writer,Arts & Culture
Familientherapeut,Family therapist,Health & Medicine
Fantasyautor,Fantasy author,Arts & Culture
Landwirt,Farmer,Business & Economics
Bauer,Farmer,Business & Economics
Hufschmied,Farrier,Unconventional & Misc
Faschist,Fascist,Governance & Society
Mode,Fashion,Arts & Culture
Modedesigner,Fashion designer,Arts & Culture
Modezeichner,Fashion illustrator,Arts & Culture
Modejournalist,Fashion journalist,Arts & Culture
Modefotograf,Fashion photographer,Arts & Culture
Bundesrichter,Federal judge,Law
Bundesminister,Federal Minister,Governance & Society
Bundespolizei,Federal Police,Governance & Society
Bundessozialgericht,Federal Social Court,Law
Fellow,Fellow,Academics & Humanities
Feminist,Feminist,Governance & Society
Fechter,Fencer,Sports
Fechttrainer,Fencing coach,Sports
Fechtmeister,Fencing master,Sports
Fetischmodel,Fetish model,Arts & Culture
Feudal,Feudal,Governance & Society
Feuilletonist,Feuilletonist,Arts & Culture
Fiedler,Fiddler,Unconventional & Misc
Hockeytrainer,Field hockey coach,Sports
Hockeyspieler,Field hockey player,Sports
Field Manager,Field Manager,Sports
Generalfeldmarschall,Field Marshal General,Governance & Society
Feldrabbiner,Field Rabbi,Religion & Philosophy
Jagdflieger,Fighter pilot,Governance & Society
Kampfpilot,Fighter pilot,Governance & Society
Eiskunstläufer,Figure skater,Sports
Eiskunstlauf-Choreograph,Figure skating choreographer,Sports
Eiskunstlaufrichter,Figure skating judge,Law
Feilenhauer,File cutter,Business & Economics
Filmschauspieler,Film actor,Arts & Culture
Filmautor,Film author,Arts & Culture
Filmkomponist,Film composer,Arts & Culture
Filmkritiker,Film critic,Arts & Culture
Filmregisseur,Film director,Arts & Culture
Filmeditor,Film editor,Arts & Culture
Filmhistoriker,Film historian,Academics & Humanities
Filmjournalist,Film journalist,Arts & Culture
Filmproduzent,Film producer,Arts & Culture
Filmwissenschaftler,Film scientist,Arts & Culture
Film-Drehbuchschreiben,Film screenwriting,Arts & Culture
Filmtheoretiker,Film theorist,Arts & Culture
Filmemacher,Filmmaker,Arts & Culture
Finanzberater,Financial advisor,Business & Economics
Finanzanalyst,Financial analyst,Business & Economics
Finanzanwärter,Financial candidate,Business & Economics
Finanzwirt,Financial economist,Business & Economics
Finanzwissenschaftler,Financial scientist,STEM
Finanzier,Financier,Business & Economics
Finnougrist,Finnougrist,Academics & Humanities
Feuerwehrmitglied,Firefighter,Governance & Society
Feuerwerker,Fireworker,Governance & Society
Erster Kreisrat,First District Councillor,Governance & Society
Erster Bürgermeister,First Mayor,Governance & Society
Erster Offizier,First Officer,Governance & Society
Fischereibiologe,Fisheries biologist,STEM
Fischereiwissenschaftler,Fisheries scientist,STEM
Fischer,Fisherman,Business & Economics
Fischhändler,Fishmonger,Business & Economics
Faustballspieler,Fistball player,Sports
Fitnesstrainer,Fitness trainer,Sports
Flakhelfer,Flak helper,Business & Economics
Flugbegleiter,Flight attendant,Business & Economics
Flugingenieur,Flight engineer,STEM
Fluglehrer,Flight instructor,Unconventional & Misc
Fliegerarzt,Flight surgeon,Health & Medicine
Schwimmer,Float,Sports
Unihockeytrainer,Floorball coach,Sports
Unihockeyspieler,Floorball player,Sports
Flottillenadmiral,Flotilla Admiral,Governance & Society
Blumenzüchter,Flower grower,STEM
Blumenmaler,Flower painter,Arts & Culture
Blumenverkäufer,Flower seller,Business & Economics
Flügelhornspieler,Flugelhorn player,Sports
Flötist,Flutist,Arts & Culture
Volksliedsammler,Folk song collector,Arts & Culture
Volkskundler,Folklorist,"Arts & Culture, Academics & Humanities"
Schriftdesigner,Font designer,Arts & Culture
Foodblogger,Food blogger,Arts & Culture
Lebensmittelchemiker,Food chemist,STEM
Lebensmittelwissenschaftler,Food scientist,STEM
Lebensmitteltechnologe,Food technologist,STEM
Narr,Fool,Arts & Culture
Footballspieler,Football player,Sports
Zwangsarbeiter,Forced laborers,Governance & Society
Auslandskorrespondent,Foreign correspondent,Arts & Culture
Fremdsprachendidaktiker,Foreign language didactician,Academics & Humanities
Fremdenlegionär,Foreign Legionnaire,Governance & Society
Außenminister,Foreign Minister,Governance & Society
Bauführer,Foreman,Business & Economics
Rechtsmediziner,Forensic pathologist,Health & Medicine
forensischer Pathologe,forensic pathologist,Health & Medicine
Forensischer Psychiater,Forensic psychiatrist,Health & Medicine
Forensiker,Forensic scientist,STEM
Forstingenieur,Forest engineer,STEM
Waldbesitzer,Forest owner,Business & Economics
Forstwissenschaftler,Forest scientist,STEM
Förster,Forester,Business & Economics
Forstwirt,Forester,Business & Economics
Formel-1-Fahrer,Formula 1 driver,Sports
Wahrsager,Fortune teller,Religion & Philosophy
Spedition,Forwarding agency,Business & Economics
Speditionskaufmann,Forwarding agent,Business & Economics
Fossiliensammler,Fossil collector,Arts & Culture
Gründer,Founder,Business & Economics
Vierter Offizieller,Fourth official,Governance & Society
Frankoromanist,Francoromanist,Academics & Humanities
Burschenschafter,Fraternity members,Governance & Society
Freikletterer,Free climber,Sports
Freiheitskämpfer,Freedom fighter,Governance & Society
freier Journalist,freelance journalist,Governance & Society
Freischaffender,Freelancer,Business & Economics
Freistil-Skifahrer,Freestyle skier,Sports
französischer Widerstandskämpfer,French resistance fighter,Governance & Society
Vielschreiber,Frequent writer,Arts & Culture
Freskenmaler,Fresco painter,Arts & Culture
Freundschaftspionierleiter,Friendship pioneer leader,Arts & Culture
Fregattenkapitän,Frigate captain,Governance & Society
Obstbauer,Fruit grower,Business & Economics
Obsthändler,Fruiter,Business & Economics
ordentlicher Professor,Full professor,Academics & Humanities
Hauptamtlicher Mitarbeiter des Ministeriums für Staatssicherheit,Full-time employee of the Ministry for State Security,Governance & Society
Volljurist,Fully qualified lawyer,Law
Funktionär,Functionary,Business & Economics
Fondsmanager,Fund manager,Business & Economics
Trauerredner,Funeral speaker,Governance & Society
Möbeldesigner,Furniture designer,Arts & Culture
Möbelbauer,Furniture maker,Arts & Culture
Möbelhändler,Furniture retailer,Business & Economics
Kürschner,Furrier,Business & Economics
Futsalspieler,Futsal player,Sports
Fürstabt,Fürstabt,Governance & Society
Gagschreiber,Gag writer,Arts & Culture
Galerist,Gallery owner,Arts & Culture
Galvaniseur,Galvanizer,STEM
Galvanograf,Galvanographer,Arts & Culture
Gambist,Gambist,STEM
Spieledesigner,Game designer,Arts & Culture
Spieleautor,Game designer,Arts & Culture
Spieleentwickler,Game developer,STEM
Spielleiter,Game master,Sports
Gameshowmoderator,Game show host,Arts & Culture
Gartendesigner,Garden designer,Arts & Culture
Gärtner,Gardener,Business & Economics
Garten- und Landschaftsbauer,Gardeners and landscapers,Business & Economics
Gastroenterologe,Gastroenterologist,Health & Medicine
Gauleiter,Gauleiter,Unconventional & Misc
Schwulenaktivist,Gay activist,Governance & Society
Gemmenschneider,Gem cutter,Arts & Culture
Gemmenforscher,Gemmologist,Academics & Humanities
Gemmologe,Gemologist,Academics & Humanities
Geschlechterforscher,Gender researcher,Academics & Humanities
Gender-Theoretiker,Gender theorists,Academics & Humanities
Genealoge,Genealogist,Academics & Humanities
Generalunternehmer,General contractor,Business & Economics
Generaldirektor,General Manager,Business & Economics
Hausarzt,General practitioner,Health & Medicine
Praktischer Arzt,General practitioner,Health & Medicine
Generalstabsoffizier,General Staff Officer,Governance & Society
Genetiker,Geneticist,STEM
Genremaler,Genre painter,Arts & Culture
Geobiologe,Geobiologist,STEM
Geobotaniker,Geobotanist,STEM
Geochemiker,Geochemist,STEM
Geodät,Geodesic,STEM
Geoökologe,Geoecologist,STEM
Geograph,Geographer,STEM
Geographielehrer,Geography teacher,Academics & Humanities
Geoinformatiker,Geoinformatician,STEM
geologischer Kartograph,geological cartographer,STEM
geologischer Kartenredakteur,geological map editor,STEM
Geologe,Geologist,STEM
Geomikrobiologe,Geomicrobiologist,STEM
Geomorphologe,Geomorphologist,STEM
Geophysiker,Geophysicist,STEM
Geopolitiker,Geopolitician,Governance & Society
Geowissenschaftler,Geoscientist,STEM
Altenpfleger,geriatric nurse,Health & Medicine
Geriater,Geriatrician,Health & Medicine
Bundeswehr,German Armed Forces,Governance & Society
Deutscher Meister,German champion,Sports
deutscher Soldat,German soldier,Governance & Society
Deutschlehrer,German teacher,Academics & Humanities
Deutsche Weinkönigin,German Wine Queen,Governance & Society
Germanist,Germanist,Academics & Humanities
Deutschland,Germany,Unconventional & Misc
Gerontologe,Gerontologist,Academics & Humanities
Gestapo-Mitarbeiter,Gestapo employee,Governance & Society
Gestapo-Spitzel,Gestapo informers,Governance & Society
Ghostwriter,Ghostwriter,Arts & Culture
Vergolder,Gilder,Arts & Culture
Glaziologe,Glaciologist,STEM
Glaskünstler,Glass artist,Arts & Culture
Glasharmonika-Spieler(in),Glass harmonica player,Arts & Culture
Glasmaler,Glass painter,Arts & Culture
Glasbläser,Glassblower,Arts & Culture
Glasmacher,Glassmaker,Arts & Culture
Glaser,Glazier,Business & Economics
Segelflieger,Glider pilot,Sports
